2020-03-04 13:54:03
  PID COMM             ARGS                                                              %CPU      VSZ     STIME USER               UID
    1 /sbin/launchd    /sbin/launchd                                                      0.0  4417876   8:50.00 root                 0
  403 /System/Library/ /System/Library/CoreServices/iconservicesagent                     0.0  4470172   0:08.02 qww                501
  404 /System/Library/ /System/Library/PrivateFrameworks/GeoServices.framework/Versions   0.0  4449160   0:02.44 qww                501
  407 /System/Library/ /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions   0.0  4421924   0:00.40 qww                501
  408 /System/Library/ /System/Library/PrivateFrameworks/login.framework/Versions/A/XPC   0.0  4378868   0:00.01 qww                501
  409 /System/Library/ /System/Library/PrivateFrameworks/CharacterPicker.framework/Vers   0.0  4386736   0:00.05 qww                501
  410 /System/Library/ /System/Library/PrivateFrameworks/CommerceKit.framework/Versions   0.0  4396640   0:00.13 qww                501
  411 /System/Library/ /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.a   0.0  5041100   0:04.88 qww                501
  413 /System/Library/ /System/Library/Frameworks/ApplicationServices.framework/Version   0.0  4395380   0:00.66 qww                501
  414 /System/Library/ /System/Library/CoreServices/pbs                                   0.0  4430420   0:00.30 qww                501
  415 /System/Library/ /System/Library/PrivateFrameworks/CallHistory.framework/Support/   0.0  4422132   0:00.11 qww                501
  416 /usr/libexec/vid /usr/libexec/videosubscriptionsd                                   0.0  4424196   0:00.12 qww                501
  417 /System/Library/ /System/Library/Services/AppleSpell.service/Contents/MacOS/Apple   0.0  4826324   0:02.08 qww                501
  418 /usr/libexec/key /usr/libexec/keyboardservicesd                                     0.0  4429540   0:01.31 qww                501
  420 /System/Library/ /System/Library/PrivateFrameworks/CoreFollowUp.framework/Version   0.0  4395052   0:00.08 qww                501
  421 /System/Library/ /System/Library/PrivateFrameworks/CoreSuggestions.framework/Vers   0.0  4697340   0:01.92 qww                501
  422 /System/Library/ /System/Library/PrivateFrameworks/AssetCacheServices.framework/V   0.0  4430084   0:01.38 qww                501
  423 /usr/libexec/Ass /usr/libexec/AssetCache/AssetCache                                 0.0  4425544   0:00.16 _assetcache        235
  425 /System/Library/ /System/Library/PrivateFrameworks/AssistantServices.framework/Ve   0.0  4502060   0:00.18 qww                501
  426 /usr/libexec/Saf /usr/libexec/SafariCloudHistoryPushAgent                           0.0  4422512   0:14.03 qww                501
  428 /System/Library/ /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/c   0.0  4482592   0:03.96 qww                501
  430 /Library/Develop /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Ver   0.0  4943276   0:04.91 qww                501
  431 /Library/Develop /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Ver   0.0  4941836   0:04.53 qww                501
  432 /System/Library/ /System/Library/PrivateFrameworks/CommunicationsFilter.framework   0.0  4394860   0:00.10 qww                501
  433 /System/Library/ /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XP   0.0  4424216   0:00.21 qww                501
  435 SafeEjectGPUAgen SafeEjectGPUAgent                                                  0.0  4839728   0:00.00 qww                501
  436 /System/Library/ /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/   0.0  4423392   0:00.09 qww                501
  439 /System/Library/ /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/   0.0  4428452   0:01.21 qww                501
  440 /System/Library/ /System/Library/CoreServices/ScopedBookmarkAgent                   0.0  4424792   0:00.24 qww                501
  441 /System/Library/ /System/Library/Frameworks/AudioToolbox.framework/AudioComponent   0.0  4423828   0:00.12 qww                501
  443 /System/Library/ /System/Library/Frameworks/AudioToolbox.framework/XPCServices/co   0.0  4362512   0:00.01 qww                501
  445 /usr/libexec/fin /usr/libexec/findmydevice-user-agent                               0.0  4396108   0:00.11 qww                501
  446 /System/Library/ /System/Library/PrivateFrameworks/ContextKit.framework/Versions/   0.0  4484416   0:00.23 qww                501
  447 /System/Library/ /System/Library/Frameworks/CoreServices.framework/Frameworks/Met   0.0  4806264   0:01.55 qww                501
  448 /usr/libexec/dpr /usr/libexec/dprivacyd                                             0.0  4427844   0:00.18 root                 0
  449 /System/Library/ /System/Library/PrivateFrameworks/AssistantServices.framework/Ve   0.0  4502976   0:05.04 qww                501
  450 /System/Library/ /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeec   0.0  4422520   0:01.11 qww                501
  452 /System/Library/ /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/   0.0  4421512   0:00.12 qww                501
  455 /usr/libexec/dmd /usr/libexec/dmd                                                   0.0  4422872   0:00.25 qww                501
  457 /System/Library/ /System/Library/Image Capture/Support/icdd                         0.0  4422868   0:00.22 qww                501
  458 /usr/local/Cella /usr/local/Cellar/watchman/4.9.0/libexec/bin/watchman --foregrou   0.0  4385984   0:01.32 qww                501
  459 /Library/Applica /Library/Application Support/iStat Menus 6/iStatMenusAgent.app/C   0.0  4460480   0:05.81 qww                501
  461 /Library/Applica /Library/Application Support/Adobe/AdobeGCClient/AGMService -mod   0.0  4425388   0:00.53 qww                501
  462 /System/Library/ /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/A   0.0  4950328   0:05.37 qww                501
  464 /usr/libexec/kno /usr/libexec/knowledge-agent                                       0.0  4436612   0:00.98 qww                501
  465 /System/Library/ /System/Library/CoreServices/cloudpaird                            0.0  4423296   0:00.42 qww                501
  468 /System/Library/ /System/Library/PrivateFrameworks/Noticeboard.framework/Versions   0.0  4454408   0:04.98 qww                501
  469 /Library/Applica /Library/Application Support/iStat Menus 6/iStat Menus Status.ap   0.2  4590092   9:49.40 qww                501
  470 /System/Library/ /System/Library/CoreServices/diagnostics_agent                     0.0  4426632   0:01.05 qww                501
  473 /System/Library/ /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundl   0.0  4396200   0:00.07 qww                501
  474 /usr/libexec/tas /usr/libexec/taskgated                                             0.0  4424312   0:06.41 root                 0
  475 /System/Library/ /System/Library/CoreServices/Menu Extras/TextInput.menu/Contents   0.0  4544248   0:05.64 qww                501
  476 /System/Library/ /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw       0.0  4396636   0:00.06 qww                501
  477 /Applications/QQ /Applications/QQMacMgr.app/Contents/Frameworks/QQMacMgrMonitor.a   0.0  5081740   1:09.70 qww                501
  481 /usr/libexec/dmd /usr/libexec/dmd                                                   0.0  4422828   0:00.16 root                 0
  482 /System/Library/ /System/Library/CoreServices/iconservicesagent runAsRoot           0.0  4439524   0:01.06 root                 0
